Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1962","165.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1963","152.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1964","212.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1965","192.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1966","423.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1967","480.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1968","650.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1969","601.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1970","599.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1971","391.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1972","352.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1973","399.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1974","791.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1975","789.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1976","387.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1977","781.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1978","2231.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1979","2143.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1980","2030.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1981","2256.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1982","1939.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1983","2092.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1984","2428.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1985","2106.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1986","3307.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1987","1447.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1988","1543.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1989","1959.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1990","2558.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1991","2679.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1992","3070.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1993","3987.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1994","3487.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1995","3809.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1996","4075.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1997","5114.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1998","4595.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","1999","6205.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2000","6088.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2001","5963.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2002","6352.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2003","7189.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2004","5876.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2005","5298.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2006","3899.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2007","8071.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2008","9091.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2009","8530.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2010","10835.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2011","11326.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2012","14196.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","667","Tea","2013","13671.00","","Official data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1961","6966.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1962","6448.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1963","5176.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1964","8200.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1965","10499.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1966","8751.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1967","8151.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1968","7896.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1969","9167.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1970","8664.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1971","9056.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1972","7921.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1973","8131.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1974","7869.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","667","Tea","1975","7894.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
